"Reference","Component Name","Quantity","Footprint","Description","Unit Cost (INR)","Total Cost (INR)"
"MCU1","Arduino Uno","1","Module:Arduino_UNO_SMD","Arduino Uno module","₹450","₹450"
"U2","L298N","1","Package_TO_SOT_THT:TO-220-5","L298N module","₹120","₹120"
"U3","IR Sensor","1","Sensor_Optical:QRD1113","IR Sensor module","₹35","₹35"
"M4","DC Motor","1","Connector_PinHeader_2.54mm:PinHeader_1x02","DC Motor module","₹150","₹150"
"U5","9V Battery","1","Package_DIP:DIP-8_W7.62mm","9V Battery module","₹100","₹100"
"","","","","","TOTAL COST","₹855"

"Generated by ProjectForge AI Platform"
"Date: 23/6/2026"
"Project: Line Follower Robot"
